X,Y,track_fid,track_seg_id,track_seg_point_id,ele
3.289765,51.35043,0,0,170,6.2
3.289573,51.350313,0,0,171,6.4
3.289443,51.350234,0,0,172,6.4
3.28928,51.350133,0,0,173,6.4
3.28912,51.350038,0,0,174,6.6
3.288979,51.349951,0,0,175,6.4
3.288877,51.349857,0,0,176,6.4
3.288821,51.349753,0,0,177,6.4
3.288787,51.349644,0,0,178,6.4
3.28877,51.349531,0,0,179,6.2
3.288761,51.349421,0,0,180,6.2
3.288751,51.349303,0,0,181,6.2
3.288743,51.349176,0,0,182,6.2
3.288727,51.349051,0,0,183,6.2
3.288707,51.348922,0,0,184,6
3.288686,51.348794,0,0,185,6
3.288665,51.348665,0,0,186,6
3.288644,51.348537,0,0,187,6.2
3.288627,51.348412,0,0,188,6.2
3.288613,51.348286,0,0,189,6.2
3.288603,51.348161,0,0,190,6
3.28859,51.34804,0,0,191,5.6
3.288574,51.347916,0,0,192,5.6
3.288554,51.347791,0,0,193,5.4
3.288533,51.347665,0,0,194,5
3.288511,51.34754,0,0,195,5
3.288495,51.347415,0,0,196,5.4
3.28848,51.34729,0,0,197,5.4
3.288462,51.347166,0,0,198,5.6
3.288443,51.347047,0,0,199,5.6
3.288416,51.346942,0,0,200,5.6
3.288359,51.346848,0,0,201,5.6
3.288262,51.346778,0,0,202,6
3.288126,51.346742,0,0,203,6.2
3.287974,51.346735,0,0,204,6.2
3.287817,51.346746,0,0,205,6.4
3.287653,51.346758,0,0,206,6.4
3.28748,51.346773,0,0,207,6.4
3.287307,51.346782,0,0,208,6.4
3.287132,51.346789,0,0,209,6.4
3.286959,51.346788,0,0,210,6.4
3.286774,51.346788,0,0,211,6.4
3.286585,51.346783,0,0,212,6.4
3.28641,51.34679,0,0,213,6.4
3.286234,51.346809,0,0,214,6.4
3.286067,51.346839,0,0,215,6.4
3.285911,51.346898,0,0,216,6.4
3.285746,51.346952,0,0,217,6.4
3.285567,51.346979,0,0,218,6.4
3.285342,51.347,0,0,219,6.8
3.285187,51.347009,0,0,220,7
3.285005,51.347022,0,0,221,7.6
3.284838,51.347019,0,0,222,7.6
3.284701,51.346993,0,0,223,8
3.284618,51.346934,0,0,224,8
3.284601,51.346858,0,0,225,8
3.284637,51.346778,0,0,226,7.6
3.284694,51.346692,0,0,227,7.6
3.284745,51.346599,0,0,228,7.6
3.284767,51.3465,0,0,229,7.6
3.284766,51.346395,0,0,230,7.6
3.28476,51.346289,0,0,231,7.6
3.284754,51.346186,0,0,232,7.6
3.284741,51.346079,0,0,233,7.6
3.284728,51.345968,0,0,234,7
