X,Y,track_fid,track_seg_id,track_seg_point_id,ele
138.942184,35.359863,0,0,268,450
138.942184,35.359791,0,0,269,450.5
138.942184,35.359707,0,0,270,451.2
138.9422,35.359642,0,0,271,451.7
138.942215,35.359566,0,0,272,452.3
138.942215,35.359493,0,0,273,452.8
138.94223,35.359428,0,0,274,453.3
138.94223,35.359375,0,0,275,453.7
138.942245,35.359322,0,0,276,454.1
138.942245,35.359276,0,0,277,454.5
138.942261,35.359226,0,0,278,454.9
138.942261,35.35918,0,0,279,455.3
138.942276,35.359127,0,0,280,455.7
138.942291,35.359081,0,0,281,456.1
138.942306,35.359032,0,0,282,456.6
138.942322,35.358982,0,0,283,457.1
138.942337,35.358932,0,0,284,457.7
138.942352,35.358887,0,0,285,458.2
138.942367,35.358849,0,0,286,458.6
138.942383,35.35881,0,0,287,459.1
138.942398,35.358765,0,0,288,459.6
138.942413,35.358719,0,0,289,460.1
138.942444,35.358673,0,0,290,460.6
138.942459,35.358635,0,0,291,461
138.942474,35.358589,0,0,292,461.5
138.94249,35.358555,0,0,293,461.9
138.94252,35.358517,0,0,294,462.3
138.942535,35.358475,0,0,295,462.7
138.942566,35.358433,0,0,296,463.2
138.942596,35.358395,0,0,297,463.7
138.942612,35.35836,0,0,298,464
138.942642,35.358318,0,0,299,464.5
138.942673,35.358276,0,0,300,465
138.942703,35.358238,0,0,301,465.4
138.942719,35.358204,0,0,302,465.7
138.942749,35.35817,0,0,303,466.1
138.94278,35.358135,0,0,304,466.5
138.94281,35.358097,0,0,305,467
138.942841,35.358059,0,0,306,467.4
138.942871,35.358028,0,0,307,467.8
138.942917,35.35799,0,0,308,468.3
138.942947,35.357948,0,0,309,468.8
138.942993,35.35791,0,0,310,469.3
138.943024,35.357872,0,0,311,469.7
138.943054,35.357838,0,0,312,470.1
138.943085,35.357799,0,0,313,470.5
138.94313,35.357757,0,0,314,471
138.943161,35.357723,0,0,315,471.4
138.943191,35.357685,0,0,316,471.8
138.943222,35.357651,0,0,317,472.1
138.943268,35.357613,0,0,318,472.5
138.943298,35.357567,0,0,319,472.9
138.943344,35.357529,0,0,320,473.2
138.94339,35.357483,0,0,321,473.6
138.94342,35.357437,0,0,322,473.9
138.943466,35.357399,0,0,323,474.1
138.943497,35.357353,0,0,324,474.4
138.943542,35.357311,0,0,325,474.6
138.943588,35.357265,0,0,326,474.8
138.943619,35.357227,0,0,327,474.9
138.943649,35.357193,0,0,328,475
